frame_0based,displayed_decision_1based,executed_action,p_end_approx,p_end_chroma_endpoint_approx,end_legacy_width_px,end_chroma_endpoint_px,action_thresholds_agree,move_ahead_approx,rotate_right_approx,rotate_left_approx,move_back_approx,done_approx,sub_done_approx,rotate_left_small_approx,rotate_right_small_approx
0,1,r,0.0,0.0,0,0,True,0.0,0.9272727272727272,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
1,2,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2,3,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
3,4,r,0.0,0.0,0,0,True,0.6727272727272727,0.34545454545454546,0.0,0.0,0.0,0.0,0.0,0.0
4,5,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
5,6,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
6,7,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
7,8,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
8,9,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
9,10,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,m,0.0,0.0,0,0,True,0.8909090909090909,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
15,16,m,0.0,0.0,0,0,True,0.7454545454545455,0.09090909090909091,0.16363636363636364,0.0,0.0,0.0,0.0,0.0
16,17,l,0.0,0.0,0,0,True,0.05454545454545454,0.0,0.9272727272727272,0.0,0.0,0.0,0.0,0.0
