frame_0based,displayed_decision_1based,executed_action,p_end_approx,p_end_chroma_endpoint_approx,end_legacy_width_px,end_chroma_endpoint_px,action_thresholds_agree,move_ahead_approx,rotate_right_approx,rotate_left_approx,move_back_approx,done_approx,sub_done_approx,rotate_left_small_approx,rotate_right_small_approx
0,1,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2,3,m,0.0,0.0,0,0,True,0.9272727272727272,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
3,4,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
4,5,r,0.0,0.0,0,0,True,0.6363636363636364,0.38181818181818183,0.0,0.0,0.0,0.0,0.0,0.0
5,6,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
9,10,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,r,0.0,0.0,0,0,True,0.0,0.9636363636363636,0.0,0.0,0.0,0.0,0.0,0.0
11,12,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,m,0.0,0.0,0,0,True,0.6363636363636364,0.34545454545454546,0.0,0.0,0.0,0.0,0.0,0.0
15,16,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
16,17,r,0.0,0.0,0,0,True,0.0,0.9636363636363636,0.0,0.0,0.0,0.0,0.0,0.0
17,18,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,r,0.0,0.0,0,0,True,0.5636363636363636,0.41818181818181815,0.0,0.0,0.0,0.0,0.0,0.0
20,21,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,m,0.0,0.0,0,0,True,0.6727272727272727,0.0,0.3090909090909091,0.0,0.0,0.0,0.0,0.0
26,27,l,0.0,0.0,0,0,True,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
27,28,l,0.0,0.0,0,0,True,0.05454545454545454,0.0,0.9272727272727272,0.0,0.0,0.0,0.0,0.0
28,29,m,0.0,0.0,0,0,True,0.7454545454545455,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
29,30,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,m,0.0,0.0,0,0,True,0.8181818181818182,0.05454545454545454,0.16363636363636364,0.0,0.0,0.0,0.0,0.0
32,33,l,0.0,0.0,0,0,True,0.38181818181818183,0.4909090909090909,0.12727272727272726,0.0,0.0,0.0,0.0,0.0
33,34,r,0.0,0.0,0,0,True,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.0,0.0
34,35,r,0.0,0.0,0,0,True,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
35,36,r,0.0,0.0,0,0,True,0.16363636363636364,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
36,37,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,41,m,0.0,0.0,0,0,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
