phase,repeat,task_key,house_index,synset,target_id,asset_id,static_candidate,exact_id_matches,valid_aabb,status,aabb_x_m,aabb_y_m,aabb_z_m,aabb_volume_m3,max_side_m,obb_available
preflight,1,ObjectNavType/val/000420/raw_navigation_camera__0.mp4,420,mug.n.04,ObjaMilkshake|6|0,4037a5122c294a19bee0e62042ee77fe,True,1,True,VALID_CREATION_STATE_AABB,0.13204288482666016,0.17658936977386475,0.09797477722167969,0.0022845141129871184,0.17658936977386475,True
preflight,1,ObjectNavType/val/000420/raw_navigation_camera__0.mp4,420,mug.n.04,ObjaMug|2|33,cda66fff0dc142539371a293ea4dabf3,True,1,True,VALID_CREATION_STATE_AABB,0.09941446781158447,0.12023335695266724,0.10086917877197266,0.0012056827569989228,0.12023335695266724,True
preflight,2,ObjectNavType/val/000420/raw_navigation_camera__0.mp4,420,mug.n.04,ObjaMilkshake|6|0,4037a5122c294a19bee0e62042ee77fe,True,1,True,VALID_CREATION_STATE_AABB,0.13204288482666016,0.17658936977386475,0.09797477722167969,0.0022845141129871184,0.17658936977386475,True
preflight,2,ObjectNavType/val/000420/raw_navigation_camera__0.mp4,420,mug.n.04,ObjaMug|2|33,cda66fff0dc142539371a293ea4dabf3,True,1,True,VALID_CREATION_STATE_AABB,0.09941446781158447,0.12023335695266724,0.10086917877197266,0.0012056827569989228,0.12023335695266724,True
preflight,1,ObjectNavType/val/000714/raw_navigation_camera__0.mp4,714,mug.n.04,ObjaMilkshake|6|1,4037a5122c294a19bee0e62042ee77fe,True,1,True,VALID_CREATION_STATE_AABB,0.12877464294433594,0.1765890121459961,0.09247684478759766,0.0021029407424371597,0.1765890121459961,True
preflight,2,ObjectNavType/val/000714/raw_navigation_camera__0.mp4,714,mug.n.04,ObjaMilkshake|6|1,4037a5122c294a19bee0e62042ee77fe,True,1,True,VALID_CREATION_STATE_AABB,0.12877464294433594,0.1765890121459961,0.09247684478759766,0.0021029407424371597,0.1765890121459961,True
preflight,1,ObjectNavType/val/001095/raw_navigation_camera__0.mp4,1095,basketball.n.02,ObjaBasketball|2|0,563a01e3d4d84e078eca33ec7c2d1479,True,1,True,VALID_CREATION_STATE_AABB,0.2294858694076538,0.2296135425567627,0.2359027862548828,0.012430440482133924,0.2359027862548828,True
preflight,2,ObjectNavType/val/001095/raw_navigation_camera__0.mp4,1095,basketball.n.02,ObjaBasketball|2|0,563a01e3d4d84e078eca33ec7c2d1479,True,1,True,VALID_CREATION_STATE_AABB,0.2294858694076538,0.2296135425567627,0.2359027862548828,0.012430440482133924,0.2359027862548828,True
preflight,1,ObjectNavType/val/001730/raw_navigation_camera__0.mp4,1730,mug.n.04,ObjaMilkshake|7|64,4037a5122c294a19bee0e62042ee77fe,True,1,True,VALID_CREATION_STATE_AABB,0.12877464294433594,0.1765897274017334,0.09247684478759766,0.0021029492601836093,0.1765897274017334,True
preflight,2,ObjectNavType/val/001730/raw_navigation_camera__0.mp4,1730,mug.n.04,ObjaMilkshake|7|64,4037a5122c294a19bee0e62042ee77fe,True,1,True,VALID_CREATION_STATE_AABB,0.12877464294433594,0.1765897274017334,0.09247684478759766,0.0021029492601836093,0.1765897274017334,True
preflight,1,ObjectNavType/val/001852/raw_navigation_camera__0.mp4,1852,mug.n.04,ObjaMug|4|0,1bdbfaa744f8458c99593de70f364dfb,True,1,True,VALID_CREATION_STATE_AABB,0.07937002182006836,0.07138633728027344,0.09588623046875,0.0005432851633828117,0.09588623046875,True
preflight,2,ObjectNavType/val/001852/raw_navigation_camera__0.mp4,1852,mug.n.04,ObjaMug|4|0,1bdbfaa744f8458c99593de70f364dfb,True,1,True,VALID_CREATION_STATE_AABB,0.07937002182006836,0.07138633728027344,0.09588623046875,0.0005432851633828117,0.09588623046875,True
preflight,1,ObjectNavType/val/002819/raw_navigation_camera__0.mp4,2819,basketball.n.02,ObjaBasketball|6|50,563a01e3d4d84e078eca33ec7c2d1479,True,1,True,VALID_CREATION_STATE_AABB,0.2359018325805664,0.2296135425567627,0.22948455810546875,0.012430319201783507,0.2359018325805664,True
preflight,2,ObjectNavType/val/002819/raw_navigation_camera__0.mp4,2819,basketball.n.02,ObjaBasketball|6|50,563a01e3d4d84e078eca33ec7c2d1479,True,1,True,VALID_CREATION_STATE_AABB,0.2359018325805664,0.2296135425567627,0.22948455810546875,0.012430319201783507,0.2359018325805664,True
