task_key,target_id,synset,asset_id,source_id_form,static_candidate,full_status
ObjectNavType/val/000420/raw_navigation_camera__0.mp4,ObjaMilkshake|6|0,mug.n.04,4037a5122c294a19bee0e62042ee77fe,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/000420/raw_navigation_camera__0.mp4,ObjaMug|2|33,mug.n.04,cda66fff0dc142539371a293ea4dabf3,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/000714/raw_navigation_camera__0.mp4,ObjaMilkshake|6|1,mug.n.04,4037a5122c294a19bee0e62042ee77fe,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/001095/raw_navigation_camera__0.mp4,ObjaBasketball|2|0,basketball.n.02,563a01e3d4d84e078eca33ec7c2d1479,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/001730/raw_navigation_camera__0.mp4,ObjaMilkshake|7|64,mug.n.04,4037a5122c294a19bee0e62042ee77fe,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/001852/raw_navigation_camera__0.mp4,ObjaMug|4|0,mug.n.04,1bdbfaa744f8458c99593de70f364dfb,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/002819/raw_navigation_camera__0.mp4,ObjaBasketball|6|50,basketball.n.02,563a01e3d4d84e078eca33ec7c2d1479,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/002986/raw_navigation_camera__0.mp4,ObjaMug|2|1,mug.n.04,89ee37afe6934fd9b8f8664d8bb1669d,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/004110/raw_navigation_camera__0.mp4,BasketBall|4|1,basketball.n.02,Basketball_1,other_asset_id,False,VALID_CREATION_STATE_AABB
ObjectNavType/val/004495/raw_navigation_camera__0.mp4,ObjaMilkshake|6|1,mug.n.04,4037a5122c294a19bee0e62042ee77fe,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/004526/raw_navigation_camera__0.mp4,ObjaMug|6|2,mug.n.04,460b558df54946a5b38c9c45c2f06754,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/005093/raw_navigation_camera__0.mp4,ObjaMug|2|1,mug.n.04,1f082fd765304bc9bd73a892eeac65e8,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/006954/raw_navigation_camera__0.mp4,ObjaMilkshake|6|16,mug.n.04,4037a5122c294a19bee0e62042ee77fe,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/008027/raw_navigation_camera__0.mp4,ObjaBasketball|2|3,basketball.n.02,563a01e3d4d84e078eca33ec7c2d1479,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/008224/raw_navigation_camera__0.mp4,ObjaBasketball|4|0,basketball.n.02,563a01e3d4d84e078eca33ec7c2d1479,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/008786/raw_navigation_camera__0.mp4,ObjaBasketball|6|17,basketball.n.02,4d92ac7449634342935c26d8d3c8b39c,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/008828/raw_navigation_camera__0.mp4,ObjaMug|6|17,mug.n.04,c324ddbc2dec43288993f7241a0f63d4,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/009839/raw_navigation_camera__0.mp4,ObjaMug|6|4,mug.n.04,849b4573e03a40b8b073a2209d1bc1d3,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/009921/raw_navigation_camera__0.mp4,ObjaBasketball|4|4,basketball.n.02,563a01e3d4d84e078eca33ec7c2d1479,hex32_asset_id,True,VALID_CREATION_STATE_AABB
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|4|42,vase.n.01,Vase_Medium_5,other_asset_id,False,VALID_CREATION_STATE_AABB
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|6|67,vase.n.01,Vase_Medium_5,other_asset_id,False,VALID_CREATION_STATE_AABB
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|7|87,vase.n.01,Vase_Medium_5,other_asset_id,False,VALID_CREATION_STATE_AABB
ObjectNavType/val/010248/raw_navigation_camera__0.mp4,Vase|8|98,vase.n.01,Vase_Medium_5,other_asset_id,False,VALID_CREATION_STATE_AABB
